ID;Fichier
20250570;PhraseQueue.java
20250571;MultipleTermPositions.java
20250572;MultiPhraseQuery.java
20250573;SorterTemplate.java
20250574;NearSpansOrdered.java
20250575;PhraseQuery.java
20250576;TestPerfTasksLogic.java
20250577;TestConcurrentMergeScheduler.java
20250578;TestSpansAdvanced2.java
20250579;TestMergeSchedulerExternal.java
20250580;TestPayloadTermQuery.java
20250581;TestSpansAdvanced.java
20250582;TestSearch.java
20250583;TestFilteredSearch.java
20250584;FuzzyLikeThisQueryTest.java
20250585;TestDocBoost.java
20250586;TestFilteredQuery.java
20250587;TestMatchAllDocsQuery.java
20250588;FreqProxFieldMergeState.java
20250589;SegmentWriteState.java
20250590;BufferedDeletes.java
20250591;TestCachingSpanFilter.java
20250592;TestIsCurrent.java
20250593;TestParser.java
20250594;TestCachingWrapperFilter.java
20250595;LineFileDocs.java
20250596;TestDeletionPolicy.java
20250597;TestWordnet.java
20250598;CreateIndexTask.java
20250599;PathHierarchyTokenizer.java
20250600;TestPathHierarchyTokenizer.java
20250601;TestReversePathHierarchyTokenizer.java
20250602;ReversePathHierarchyTokenizer.java
20250603;TestTimeLimitingCollector.java
20250604;Document.java
20250605;NumericField.java
20250606;FieldsReader.java
20250607;TestMultiSearcherRanking.java
20250608;MergeDocIDRemapper.java
20250609;ItalianAnalyzer.java
20250610;ElisionFilter.java
20250611;TestItalianAnalyzer.java
20250612;TokenSourcesTest.java
20250613;IndexUpgrader.java
20250614;OffsetLimitTokenFilterTest.java
20250615;TestSloppyPhraseQuery.java
20250616;TestLuceneDictionary.java
20250617;TestTermRangeQuery.java
20250618;TestPayloadProcessorProvider.java
20250619;TestTermVectorsWriter.java
20250620;BooleanFilterTest.java
20250621;TestTermVectors.java
20250622;HighlighterTest.java
20250623;DocHelper.java
20250624;TestExtendableQueryParser.java
20250625;TestMoreLikeThis.java
20250626;TestSynonymTokenFilter.java
20250627;TestHighFreqTerms.java
20250628;AbstractTestCase.java
20250629;MemoryIndexTest.java
20250630;TestQueryParser.java
20250631;TestQPHelper.java
20250632;TestMaxTermFrequency.java
20250633;TestMultiTermConstantScore.java
20250634;HighlighterPhraseTest.java
20250635;TermsFilterBuilder.java
20250636;MemoryIndex.java
20250637;FuzzyLikeThisQuery.java
20250638;SynLookup.java
20250639;SynExpand.java
20250640;AnalyzingQueryParser.java
20250641;InstantiatedIndexWriter.java
20250642;QueryTermVector.java
20250643;AnalyzerQueryNodeProcessor.java
20250644;MoreLikeThis.java
20250645;TermsQueryBuilder.java
20250646;SpanOrTermsBuilder.java
20250647;LikeThisQueryBuilder.java
20250648;SimilarityQueries.java
20250649;Highlighter.java
20250650;SentinelIntSet.java
20250651;Syns2Index.java
20250652;IndexWriterConfig.java
20250653;TestIndexWriterConfig.java
20250654;SpellChecker.java
20250655;DocIdSetIterator.java
20250656;TestPrecedenceQueryParser.java
20250657;SimpleFSDirectory.java
20250658;NIOFSDirectory.java
20250659;EdgeNGramTokenFilterTest.java
20250660;TestMappingCharFilter.java
20250661;TestFinnishLightStemFilter.java
20250662;TestPrefixAwareTokenFilter.java
20250663;TestASCIIFoldingFilter.java
20250664;TestBulgarianStemmer.java
20250665;PrefixAndSuffixAwareTokenFilter.java
20250666;TestItalianLightStemFilter.java
20250667;QueryAutoStopWordAnalyzer.java
20250668;TestHindiNormalizer.java
20250669;TestReverseStringFilter.java
20250670;ShingleAnalyzerWrapper.java
20250671;TestHindiStemmer.java
20250672;TestPorterStemFilter.java
20250673;TestPrefixAndSuffixAwareTokenFilter.java
20250674;TestSwedishLightStemFilter.java
20250675;DelimitedPayloadTokenFilterTest.java
20250676;TypeAsPayloadTokenFilterTest.java
